elapsed_time,set_no,game_no,point_no,sets,games,server,point_victor,1
1900-01-01 00:00:00,1,1,1,0,0,0,0,0.0493576642534246
1900-01-01 00:00:25,1,1,2,0,0,0,1,0.1552030489815213
1900-01-01 00:01:19,1,1,3,0,0,0,1,0.0553983918940754
1900-01-01 00:02:17,1,1,4,0,0,0,0,0.0349095095303761
1900-01-01 00:03:02,1,1,5,0,0,0,1,0.1089014083325728
1900-01-01 00:03:38,1,1,6,0,0,0,0,0.0655857468745416
1900-01-01 00:04:05,1,1,7,0,0,0,0,0.1862774064464193
1900-01-01 00:04:41,1,1,8,0,0,0,1,0.2019659762122776
1900-01-01 00:06:03,1,1,9,0,0,0,0,0.2343171090375362
1900-01-01 00:06:43,1,1,10,0,0,0,0,0.0681386179413098
1900-01-01 00:08:02,1,2,11,0,0,1,0,0.2806958256176959
1900-01-01 00:08:28,1,2,12,0,0,1,0,0.3809890126184863
1900-01-01 00:09:22,1,2,13,0,0,1,0,0.2916600077933151
1900-01-01 00:10:25,1,2,14,0,0,1,1,0.323378627538054
1900-01-01 00:10:57,1,2,15,0,0,1,1,0.349221185483484
1900-01-01 00:11:29,1,2,16,0,0,1,0,0.2721492500432207
1900-01-01 00:12:45,1,3,17,0,0,0,0,0.1598769868983175
1900-01-01 00:13:23,1,3,18,0,0,0,1,0.2565460635525967
1900-01-01 00:14:24,1,3,19,0,0,0,1,0.2744703421599819
1900-01-01 00:15:30,1,3,20,0,0,0,0,0.7635528517975962
1900-01-01 00:17:03,1,3,21,0,0,0,0,0.3918629512456471
1900-01-01 00:18:02,1,3,22,0,0,0,0,0.0
1900-01-01 00:19:49,1,4,23,0,0,1,0,0.2435028794030403
1900-01-01 00:20:15,1,4,24,0,0,1,1,0.3079922685086172
1900-01-01 00:20:38,1,4,25,0,0,1,0,0.6008158003191784
1900-01-01 00:21:15,1,4,26,0,0,1,0,0.4656470286520423
1900-01-01 00:21:55,1,4,27,0,0,1,1,0.2305103365041539
1900-01-01 00:22:36,1,4,28,0,0,1,1,0.3311955471971829
1900-01-01 00:23:16,1,4,29,0,0,1,0,0.3941694278816013
1900-01-01 00:24:11,1,4,30,0,0,1,0,0.1107698543382974
1900-01-01 00:25:06,1,5,31,0,0,0,0,0.0511039634559823
1900-01-01 00:25:28,1,5,32,0,0,0,0,0.1018125384132724
1900-01-01 00:25:57,1,5,33,0,0,0,1,0.130439834041722
1900-01-01 00:26:33,1,5,34,0,0,0,0,0.2133203323048961
1900-01-01 00:27:10,1,5,35,0,0,0,0,0.1122573845870612
1900-01-01 00:28:47,1,6,36,0,0,1,1,0.4003516928749116
1900-01-01 00:29:15,1,6,37,0,0,1,1,0.41204680669872
1900-01-01 00:29:37,1,6,38,0,0,1,0,0.1161219953180064
1900-01-01 00:30:15,1,6,39,0,0,1,0,0.1577081555091161
1900-01-01 00:30:55,1,6,40,0,0,1,1,0.6324833089548452
1900-01-01 00:31:36,1,6,41,0,0,1,1,0.3691338496146247
1900-01-01 00:32:28,1,7,42,0,1,0,0,0.2659646634537007
1900-01-01 00:33:11,1,7,43,0,1,0,0,0.0644318507660693
1900-01-01 00:33:55,1,7,44,0,1,0,0,0.0307661675544961
1900-01-01 00:34:19,1,7,45,0,1,0,0,0.105675813535912
1900-01-01 00:36:28,2,1,46,0,0,1,1,0.4371550265765213
1900-01-01 00:36:58,2,1,47,0,0,1,0,0.6592514869744363
1900-01-01 00:37:34,2,1,48,0,0,1,1,0.44675550258373
1900-01-01 00:38:07,2,1,49,0,0,1,1,0.2685087778461122
1900-01-01 00:38:34,2,1,50,0,0,1,1,0.3486656377403285
1900-01-01 00:39:35,2,2,51,0,1,0,1,0.0145271160509496
1900-01-01 00:40:32,2,2,52,0,1,0,1,0.1736792240349979
1900-01-01 00:41:29,2,2,53,0,1,0,0,0.1988886521026265
1900-01-01 00:42:10,2,2,54,0,1,0,0,0.2786500444534127
1900-01-01 00:43:16,2,2,55,0,1,0,0,0.0271994338058758
1900-01-01 00:44:16,2,2,56,0,1,0,1,0.3131422694791316
1900-01-01 00:45:23,2,2,57,0,1,0,1,0.1405819117902949
1900-01-01 00:46:38,2,2,58,0,1,0,0,0.0636005671206906
1900-01-01 00:47:10,2,2,59,0,1,0,1,0.2650881025764287
1900-01-01 00:48:01,2,2,60,0,1,0,1,0.1929207846507378
1900-01-01 00:48:48,2,3,61,0,2,1,0,0.1816806077138554
1900-01-01 00:49:32,2,3,62,0,2,1,1,0.2045292489565651
1900-01-01 00:50:22,2,3,63,0,2,1,1,0.9571102573942994
1900-01-01 00:51:25,2,3,64,0,2,1,0,0.4702681820674283
1900-01-01 00:52:06,2,3,65,0,2,1,1,0.2299682323828523
1900-01-01 00:52:49,2,3,66,0,2,1,0,0.6072335470721312
1900-01-01 00:53:31,2,3,67,0,2,1,0,0.3298377720711034
1900-01-01 00:54:08,2,3,68,0,2,1,0,0.3774070402811367
1900-01-01 00:56:40,2,4,69,0,2,0,1,0.1954255914630755
1900-01-01 00:57:17,2,4,70,0,2,0,1,0.2913320141771314
1900-01-01 00:58:25,2,4,71,0,2,0,0,0.1197862405829942
1900-01-01 00:59:14,2,4,72,0,2,0,0,0.0384185824562704
1900-01-01 01:00:04,2,4,73,0,2,0,1,0.0726986489210572
1900-01-01 01:01:00,2,4,74,0,2,0,0,0.9833730622037004
1900-01-01 01:02:27,2,4,75,0,2,0,0,0.1976283512630447
1900-01-01 01:03:10,2,4,76,0,2,0,0,0.0388057336945733
1900-01-01 01:03:48,2,5,77,0,2,1,0,0.4533550969757943
1900-01-01 01:04:49,2,5,78,0,2,1,1,0.3431379308800727
1900-01-01 01:05:15,2,5,79,0,2,1,1,0.26441976149286
1900-01-01 01:05:42,2,5,80,0,2,1,1,0.575246402624858
1900-01-01 01:06:16,2,5,81,0,2,1,0,0.385214077251458
1900-01-01 01:06:42,2,5,82,0,2,1,0,0.715510332083646
1900-01-01 01:07:32,2,5,83,0,2,1,1,0.3924484200257986
1900-01-01 01:08:08,2,5,84,0,2,1,0,0.3422553783355364
1900-01-01 01:08:35,2,5,85,0,2,1,1,0.2705818134062804
1900-01-01 01:09:18,2,5,86,0,2,1,1,0.2707349779927759
1900-01-01 01:11:20,2,6,87,0,3,0,1,0.5724018029758419
1900-01-01 01:12:26,2,6,88,0,3,0,1,0.2578784895264905
1900-01-01 01:13:52,2,6,89,0,3,0,0,0.0423642301828042
1900-01-01 01:14:39,2,6,90,0,3,0,0,0.0870266560142575
1900-01-01 01:15:16,2,6,91,0,3,0,0,0.0585833958895787
1900-01-01 01:16:02,2,6,92,0,3,0,0,0.0527102292319199
1900-01-01 01:16:45,2,7,93,0,3,1,1,0.338743440227192
1900-01-01 01:17:34,2,7,94,0,3,1,1,1.0
1900-01-01 01:18:29,2,7,95,0,3,1,1,0.1136376874607949
1900-01-01 01:19:11,2,7,96,0,3,1,1,0.2319303177918525
1900-01-01 01:21:22,2,8,97,0,4,0,0,0.0785834641150986
1900-01-01 01:22:31,2,8,98,0,4,0,1,0.3941742101390819
1900-01-01 01:23:20,2,8,99,0,4,0,0,0.2894902791258938
1900-01-01 01:24:23,2,8,100,0,4,0,0,0.1113595232046141
1900-01-01 01:25:13,2,8,101,0,4,0,0,0.043838699792511
1900-01-01 01:26:03,2,9,102,0,4,1,0,0.293470058979849
1900-01-01 01:26:31,2,9,103,0,4,1,1,0.3421029409515915
1900-01-01 01:28:01,2,9,104,0,4,1,1,0.246078701157197
1900-01-01 01:28:26,2,9,105,0,4,1,1,0.4197628500157949
1900-01-01 01:29:17,2,9,106,0,4,1,1,0.201349547943609
1900-01-01 01:31:34,2,10,107,0,5,0,1,0.0919079401491924
1900-01-01 01:32:06,2,10,108,0,5,0,0,0.1748605635466786
1900-01-01 01:32:50,2,10,109,0,5,0,0,0.3100916673598415
1900-01-01 01:33:21,2,10,110,0,5,0,1,0.2590666652317602
1900-01-01 01:35:06,2,10,111,0,5,0,0,0.0804286104423294
1900-01-01 01:35:40,2,10,112,0,5,0,1,0.1321057708495783
1900-01-01 01:36:21,2,10,113,0,5,0,0,0.3663933421215501
1900-01-01 01:37:19,2,10,114,0,5,0,0,0.3674888977533433
1900-01-01 01:38:38,2,11,115,0,5,1,0,0.2346204800300471
1900-01-01 01:39:23,2,11,116,0,5,1,1,0.5749011301514155
1900-01-01 01:40:32,2,11,117,0,5,1,1,0.2215312946200027
1900-01-01 01:41:01,2,11,118,0,5,1,1,0.3212167716925759
1900-01-01 01:41:28,2,11,119,0,5,1,1,0.3818596636198852
1900-01-01 01:43:24,2,12,120,0,6,0,0,0.2117552528309058
1900-01-01 01:44:03,2,12,121,0,6,0,1,0.101726754533385
1900-01-01 01:45:02,2,12,122,0,6,0,0,0.0390116652043089
1900-01-01 01:45:46,2,12,123,0,6,0,1,0.4835649598851039
1900-01-01 01:46:31,2,12,124,0,6,0,0,0.1745804966934382
1900-01-01 01:46:59,2,12,125,0,6,0,0,0.0786823112397717
1900-01-01 01:47:38,2,13,126,0,6,1,0,0.2582888739544951
1900-01-01 01:48:37,2,13,127,0,6,0,0,0.1197615288018259
1900-01-01 01:49:07,2,13,128,0,6,0,0,0.0565487925733912
1900-01-01 01:49:43,2,13,129,0,6,1,1,0.3299193154379927
1900-01-01 01:50:07,2,13,130,0,6,1,1,0.1492910861358267
