elapsed_time,set_no,game_no,point_no,sets,games,server,point_victor,1
1900-01-01 00:00:00,1,1,1,0,0,1,1,0.1797779404322047
1900-01-01 00:00:25,1,1,2,0,0,1,0,0.4336256934790976
1900-01-01 00:01:19,1,1,3,0,0,1,0,0.0909489202568958
1900-01-01 00:02:17,1,1,4,0,0,1,1,0.2219466158803543
1900-01-01 00:03:02,1,1,5,0,0,1,0,0.1846976265371898
1900-01-01 00:03:38,1,1,6,0,0,1,1,0.3302251524407272
1900-01-01 00:04:05,1,1,7,0,0,1,1,0.3212764354066016
1900-01-01 00:04:41,1,1,8,0,0,1,0,0.439050638514886
1900-01-01 00:06:03,1,1,9,0,0,1,1,0.505624345956251
1900-01-01 00:06:43,1,1,10,0,0,1,1,0.311234444611806
1900-01-01 00:08:02,1,2,11,0,1,0,1,0.1297778488561867
1900-01-01 00:08:28,1,2,12,0,1,0,1,0.2669829756543762
1900-01-01 00:09:22,1,2,13,0,1,0,1,0.3033572906783849
1900-01-01 00:10:25,1,2,14,0,1,0,0,0.1825880749875251
1900-01-01 00:10:57,1,2,15,0,1,0,0,0.0858777899049609
1900-01-01 00:11:29,1,2,16,0,1,0,1,0.2376858032576351
1900-01-01 00:12:45,1,3,17,0,2,1,1,0.382193616545958
1900-01-01 00:13:23,1,3,18,0,2,1,0,0.4032407571734636
1900-01-01 00:14:24,1,3,19,0,2,1,0,0.2104814879380142
1900-01-01 00:15:30,1,3,20,0,2,1,1,0.7595459432673884
1900-01-01 00:17:03,1,3,21,0,2,1,1,0.5080202675355534
1900-01-01 00:18:02,1,3,22,0,2,1,1,0.2260186573737091
1900-01-01 00:19:49,1,4,23,0,3,0,1,0.1898733400396505
1900-01-01 00:20:15,1,4,24,0,3,0,0,0.0776603673790761
1900-01-01 00:20:38,1,4,25,0,3,0,1,0.3341536432597427
1900-01-01 00:21:15,1,4,26,0,3,0,1,0.4908498672833863
1900-01-01 00:21:55,1,4,27,0,3,0,0,0.1572693345253812
1900-01-01 00:22:36,1,4,28,0,3,0,0,0.0669739418579852
1900-01-01 00:23:16,1,4,29,0,3,0,1,0.5119204152352956
1900-01-01 00:24:11,1,4,30,0,3,0,1,0.1288395642131682
1900-01-01 00:25:06,1,5,31,0,4,1,1,0.1528728493015239
1900-01-01 00:25:28,1,5,32,0,4,1,1,0.3600041762104458
1900-01-01 00:25:57,1,5,33,0,4,1,0,0.2736672161842181
1900-01-01 00:26:33,1,5,34,0,4,1,1,0.4795031613346018
1900-01-01 00:27:10,1,5,35,0,4,1,1,0.3113120138982
1900-01-01 00:28:47,1,6,36,0,5,0,0,0.1452297559874227
1900-01-01 00:29:15,1,6,37,0,5,0,0,0.1293811982558307
1900-01-01 00:29:37,1,6,38,0,5,0,1,0.1267712484263071
1900-01-01 00:30:15,1,6,39,0,5,0,1,0.0290993381050365
1900-01-01 00:30:55,1,6,40,0,5,0,0,0.7084743514991169
1900-01-01 00:31:36,1,6,41,0,5,0,0,0.2229631581947549
1900-01-01 00:32:28,1,7,42,0,5,1,1,0.5057253931573781
1900-01-01 00:33:11,1,7,43,0,5,1,1,0.235506033213133
1900-01-01 00:33:55,1,7,44,0,5,1,1,0.2326257073584014
1900-01-01 00:34:19,1,7,45,0,5,1,1,0.3780594904780344
1900-01-01 00:36:28,2,1,46,1,0,0,0,0.2012961591454203
1900-01-01 00:36:58,2,1,47,1,0,0,1,0.5366183596572621
1900-01-01 00:37:34,2,1,48,1,0,0,0,0.2109854463607407
1900-01-01 00:38:07,2,1,49,1,0,0,0,0.0611910136073065
1900-01-01 00:38:34,2,1,50,1,0,0,0,0.1000698871823486
1900-01-01 00:39:35,2,2,51,1,0,1,0,0.1159986040964071
1900-01-01 00:40:32,2,2,52,1,0,1,0,0.212604079138314
1900-01-01 00:41:29,2,2,53,1,0,1,1,0.2990274082269636
1900-01-01 00:42:10,2,2,54,1,0,1,1,0.3851026163263034
1900-01-01 00:43:16,2,2,55,1,0,1,1,0.0409701160560919
1900-01-01 00:44:16,2,2,56,1,0,1,0,0.318425107837896
1900-01-01 00:45:23,2,2,57,1,0,1,0,0.2154569404229532
1900-01-01 00:46:38,2,2,58,1,0,1,1,0.2357320726277972
