0,1,con_pro_win
1900/1/1 0:00,0.301840781,2
1900/1/1 0:08,0.201044964,3
1900/1/1 0:12,0.414916788,3
1900/1/1 0:19,0.244692559,2
1900/1/1 0:25,0.315471883,2
1900/1/1 0:28,0.226986508,2
1900/1/1 0:32,0.337979156,4
1900/1/1 0:36,0.222032173,1
1900/1/1 0:39,0.252791523,3
1900/1/1 0:48,0.366600759,3
1900/1/1 0:56,0.337373352,3
1900/1/1 1:03,0.261120325,2
1900/1/1 1:11,0.301293775,4
1900/1/1 1:16,0.30686496,0
1900/1/1 1:21,0.2006946,3
1900/1/1 1:26,0.16772104,1
1900/1/1 1:31,0.340880611,2
1900/1/1 1:38,0.268350861,1
1900/1/1 1:43,0.274123677,2
1900/1/1 1:47,0.274396044,3
1900/1/1 2:02,0.317643824,2
1900/1/1 2:09,0.279928644,1
1900/1/1 2:13,0.333066185,3
1900/1/1 2:19,0.2899375,3
1900/1/1 2:26,0.279476048,3
1900/1/1 2:54,0.134268655,1
1900/1/1 2:57,0.230513397,1
1900/1/1 3:06,0.220374828,2
1900/1/1 3:10,0.296664459,4
1900/1/1 3:16,0.171039134,2
1900/1/1 3:25,0.310236675,2
1900/1/1 3:32,0.259473699,2
1900/1/1 3:41,0.314178506,2
1900/1/1 3:45,0.169414854,1
1900/1/1 3:49,0.265419382,4
1900/1/1 3:52,0.153166449,3
1900/1/1 3:57,0.24574315,2
1900/1/1 4:05,0.361140245,1
1900/1/1 4:12,0.341239153,1
1900/1/1 4:18,0.061540972,0
1900/1/1 4:20,0.210789717,3
1900/1/1 4:23,0.150703659,1
1900/1/1 4:27,0.283759772,2
1900/1/1 4:32,0.231185872,1
1900/1/1 4:35,0.212726482,3
1900/1/1 4:39,0.295857856,1
