elapsed_time,winner,unf_err,net_pt_won,break_pt,distance_run,return_depth,point_victor
00:08:02,0,0,0,0,10.329,0.0,1
00:08:28,1,0,0,0,20.001,0.0,1
00:09:22,0,0,0,0,23.589,1.0,1
00:10:25,0,0,0,1,15.338,0.0,0
00:10:57,0,0,0,1,7.393,0.0,0
00:11:29,0,0,0,-1,18.532,1.0,1
00:19:49,0,0,0,0,14.266,1.0,1
00:20:15,0,0,0,0,7.056,0.0,0
00:20:38,0,0,0,0,26.119,1.0,1
00:21:15,0,0,0,0,38.992,1.0,1
00:21:55,0,0,0,1,12.258,1.0,0
00:22:36,0,0,0,1,5.84,0.0,0
00:23:16,0,0,0,0,41.723,0.0,1
00:24:11,0,0,0,-1,10.59,0.0,1
00:28:47,0,0,0,0,12.607,0.0,0
00:29:15,0,0,0,0,10.305,1.0,0
00:29:37,0,0,0,0,10.082,0.0,1
00:30:15,0,0,0,0,2.058,0.0,1
00:30:55,0,0,0,0,57.879,1.0,0
00:31:36,0,0,0,0,17.993,1.0,0
00:36:28,0,0,0,0,17.213,0.0,0
00:36:58,0,0,1,0,42.752,0.0,1
00:37:34,0,0,0,0,18.009,0.0,0
00:38:07,0,0,0,0,5.703,0.0,0
00:38:34,0,0,0,0,8.897,0.0,0
00:48:48,0,0,0,0,5.002,0.0,1
00:49:32,0,0,0,0,23.472,0.0,0
00:50:22,0,0,0,0,65.676,0.0,0
00:51:25,1,0,0,0,17.817,0.0,1
00:52:06,0,0,0,0,8.788,1.0,0
00:52:49,0,0,0,0,35.296,1.0,1
00:53:31,0,0,1,0,29.453,0.0,1
00:54:08,0,0,0,-1,51.537,0.0,1
01:03:48,0,0,0,0,38.632,0.0,1
01:04:49,0,0,0,0,4.499,0.0,0
01:05:15,0,-1,0,0,19.026,1.0,0
01:05:42,0,0,0,0,24.977,0.0,0
01:06:16,0,0,0,0,6.408,1.0,1
01:06:42,0,0,1,0,46.159,1.0,1
01:07:32,0,0,0,0,43.401,0.0,0
01:08:08,1,0,0,0,11.423,1.0,1
01:08:35,0,0,0,0,3.384,0.0,0
01:09:18,0,-1,0,0,14.734,0.0,0
01:16:45,0,0,0,0,24.886,0.0,0
01:17:34,0,0,0,0,70.53,0.0,0
01:18:29,0,0,0,0,7.248,0.0,0
01:19:11,0,0,0,0,0.879,0.0,0
01:26:03,0,0,0,0,7.151,0.0,1
01:26:31,0,0,0,0,24.744,0.0,0
01:28:01,0,0,0,0,4.901,1.0,0
01:28:26,0,0,0,0,27.729,0.0,0
01:29:17,0,0,0,0,5.74,0.0,0
01:38:38,0,0,0,0,12.785,1.0,1
01:39:23,0,0,0,0,77.904,0.0,0
01:40:32,0,0,0,0,5.147,1.0,0
01:41:01,0,0,0,0,2.431,1.0,0
01:41:28,0,0,0,0,11.333,0.0,0
01:47:38,0,0,0,0,19.372,1.0,1
01:49:43,0,0,0,0,7.066,1.0,0
01:50:07,0,0,0,0,0.917,0.0,0
01:52:29,0,0,0,0,9.965,0.0,0
01:53:15,0,0,0,0,57.632,0.0,0
01:57:02,0,-1,0,0,10.921,1.0,0
01:58:15,0,-1,0,0,11.191,0.0,0
02:09:21,0,0,0,0,81.82,0.0,1
02:10:13,0,0,0,0,8.534,0.0,0
02:10:37,0,0,0,0,7.153,1.0,0
02:11:03,0,-1,0,0,9.835,1.0,0
