elapsed_time,ace,double_fault,unf_err,net_pt_won,distance_run,speed_mph,serve_width,serve_depth,point_victor
00:00:00,0,0,0,0,4.341,111.0,5,1,1
00:00:25,0,0,0,0,22.307,126.0,3,2,0
00:01:19,0,0,0,0,2.926,102.0,3,2,0
00:02:17,0,0,0,0,4.209,120.0,2,1,1
00:03:02,0,0,-1,0,8.676,108.0,5,1,0
00:03:38,0,0,0,0,7.704,127.0,5,2,1
00:04:05,0,0,0,1,19.531,111.0,5,1,1
00:04:41,0,0,0,0,24.58,124.0,3,2,0
00:06:03,0,0,0,0,28.599,127.0,4,2,1
00:06:43,0,0,0,0,7.816,125.0,5,1,1
00:12:45,0,0,0,0,18.607,122.0,4,2,1
00:13:23,0,0,-1,0,34.701,107.0,4,2,0
00:14:24,0,0,0,0,29.821,85.0,4,2,0
00:15:30,0,0,0,1,89.698,88.0,3,2,1
00:17:03,0,0,0,1,32.83,121.0,4,2,1
00:18:02,1,0,0,0,0.492,121.0,4,2,1
00:25:06,0,0,0,0,3.741,108.0,5,1,1
00:25:28,0,0,0,0,12.57,126.0,5,1,1
00:25:57,0,0,0,0,16.397,111.0,3,2,0
00:26:33,0,0,0,0,27.069,125.0,5,1,1
00:27:10,0,0,0,1,10.323,121.0,4,2,1
00:32:28,0,0,0,0,36.872,117.0,4,2,1
00:33:11,0,0,0,1,10.737,110.0,4,2,1
00:33:55,0,0,0,0,3.146,120.0,4,2,1
00:34:19,0,0,0,1,14.462,125.0,5,1,1
00:39:35,0,-1,-1,0,0.9,111.34254143646409,2,2,0
00:40:32,0,0,0,0,25.107,94.0,1,2,0
00:41:29,0,0,0,1,18.005,111.0,3,2,1
00:42:10,0,0,0,1,30.332,107.0,4,2,1
00:43:16,0,0,0,0,3.523,94.0,3,2,1
00:44:16,0,0,0,0,43.824,86.0,1,2,0
00:45:23,0,0,-1,0,15.5,104.0,5,1,0
00:46:38,0,0,0,0,6.806,118.0,2,2,1
00:47:10,0,0,-1,0,31.118,113.0,5,2,0
00:48:01,0,0,-1,0,14.041,116.0,4,1,0
00:56:40,0,0,-1,0,16.1,109.0,5,1,0
00:57:17,0,0,0,0,25.613,109.0,4,2,0
00:58:25,0,0,0,0,15.539,92.0,2,2,1
00:59:14,0,0,0,0,4.169,121.0,3,1,1
01:00:04,0,0,0,0,6.882,99.0,3,2,0
01:01:00,0,0,0,0,93.426,118.0,3,2,1
01:02:27,0,0,0,1,26.537,110.0,4,2,1
01:03:10,0,0,0,0,4.131,122.0,5,1,1
01:11:20,0,0,0,0,79.221,122.0,4,1,0
01:12:26,0,0,0,0,32.868,95.0,3,2,0
01:13:52,0,0,0,0,4.053,101.0,3,2,1
01:14:39,0,0,0,0,7.26,115.0,4,2,1
01:15:16,0,0,0,0,8.749,84.0,1,2,1
01:16:02,0,0,0,0,5.941,124.0,3,1,1
01:21:22,0,0,0,0,8.91,104.0,3,2,1
01:22:31,0,0,0,0,40.412,115.0,4,2,0
01:23:20,0,0,0,0,32.302,91.0,4,2,1
01:24:23,0,0,0,0,8.947,88.0,1,2,1
01:25:13,0,0,0,0,3.844,91.0,2,2,1
01:31:34,0,0,-1,0,8.185,125.0,4,1,0
01:32:06,0,0,0,1,21.393,119.0,4,2,1
01:32:50,0,0,0,0,9.701,109.0,5,2,1
01:33:21,0,0,0,0,23.964,115.0,4,2,0
01:35:06,0,0,0,0,8.411,113.0,3,2,1
01:35:40,0,0,0,0,11.503,123.0,3,2,0
01:36:21,0,0,0,0,41.892,115.0,3,2,1
01:37:19,0,0,0,0,51.118,85.0,1,2,1
01:43:24,0,0,0,0,15.557,122.0,4,1,1
01:44:03,0,-1,-1,0,7.658,111.34254143646409,4,1,0
01:45:02,0,0,0,0,3.63,103.0,3,2,1
01:45:46,0,0,-1,0,26.817,122.0,4,2,0
01:46:31,0,0,0,0,8.984,123.0,4,2,1
01:46:59,0,0,0,0,4.985,121.0,4,2,1
01:48:37,0,0,0,0,9.977,118.0,4,2,1
01:49:07,0,0,0,0,5.259,124.0,4,2,1
01:50:45,0,0,-1,0,7.601,123.0,5,1,0
01:51:49,0,0,0,0,13.676,122.0,4,2,1
