elapsed_time,ace,double_fault,unf_err,net_pt_won,distance_run,speed_mph,serve_width,serve_depth,point_victor
00:08:02,0,0,-1,0,5.54,123.0,3,2,0.0
00:08:28,0,0,0,0,16.819,119.0,4,2,0.0
00:09:22,0,0,-1,0,21.482,107.0,1,2,0.0
00:10:25,0,0,0,0,9.876,121.0,4,1,1.0
00:10:57,0,0,0,0,7.638,128.0,2,2,1.0
00:11:29,0,0,0,0,21.88,101.0,3,2,0.0
00:19:49,0,0,0,0,12.278,108.0,5,1,0.0
00:20:15,0,0,0,0,2.783,128.0,3,2,1.0
00:20:38,0,0,0,0,30.865,128.0,4,2,0.0
00:21:15,0,0,-1,0,27.744,117.0,4,2,0.0
00:21:55,0,0,0,0,12.367,110.0,1,1,1.0
00:22:36,0,0,0,0,5.683,128.0,3,1,1.0
00:23:16,0,0,0,0,35.456,98.0,4,2,0.0
00:24:11,0,0,0,0,11.067,95.0,3,2,0.0
00:29:15,0,0,0,0,9.453,131.0,5,1,1.0
00:29:37,0,0,-1,0,6.807,103.0,2,2,0.0
00:30:55,0,0,0,1,33.492,130.0,1,2,1.0
00:31:36,0,0,0,0,16.193,118.0,4,2,1.0
00:36:28,0,0,0,1,24.951,114.0,5,1,1.0
00:36:58,0,0,0,0,34.923,129.0,5,2,0.0
00:37:34,0,0,0,1,19.28,126.0,1,1,1.0
00:38:07,0,0,0,1,5.36,117.0,5,2,1.0
00:38:34,0,0,0,0,9.236,126.0,2,2,1.0
00:48:48,0,-1,-1,0,5.897,114.44881889763779,1,1,0.0
00:49:32,0,0,0,1,22.24,93.0,1,2,1.0
00:50:22,0,0,0,0,70.345,125.0,1,2,1.0
00:52:06,0,0,0,0,9.203,112.0,2,2,1.0
00:52:49,0,0,-1,0,37.449,122.0,4,2,0.0
00:53:31,0,0,0,0,17.41,115.0,2,1,0.0
00:54:08,0,0,-1,0,40.601,92.0,3,2,0.0
01:03:48,0,0,-1,0,38.935,105.0,1,2,0.0
01:05:15,0,0,0,0,9.265,113.0,5,2,1.0
01:05:42,0,0,0,1,28.725,126.0,4,2,1.0
01:06:16,0,0,0,0,6.492,132.0,4,2,0.0
01:06:42,0,0,0,0,42.899,128.0,3,2,0.0
01:07:32,0,0,0,1,21.602,116.0,1,2,1.0
01:08:08,0,0,0,0,10.362,123.0,4,1,0.0
01:08:35,0,0,0,0,3.258,124.0,2,2,1.0
01:09:18,0,0,0,0,12.167,115.0,1,1,1.0
01:16:45,0,0,0,1,22.137,109.0,1,2,1.0
01:17:34,0,0,0,0,67.927,129.0,5,2,1.0
01:18:29,0,0,0,0,7.749,100.0,2,2,1.0
01:26:03,0,0,-1,0,5.136,124.0,4,2,0.0
01:26:31,0,0,0,0,21.813,108.0,4,2,1.0
01:28:01,1,0,0,0,4.555,116.0,5,1,1.0
01:28:26,0,0,0,0,24.445,114.0,4,2,1.0
01:29:17,0,0,0,0,7.039,109.0,5,1,1.0
01:38:38,0,0,-1,0,15.082,106.0,3,2,0.0
01:39:23,0,0,0,0,51.171,101.0,3,2,1.0
01:40:32,0,0,0,0,8.185,110.0,5,1,1.0
01:41:01,0,0,0,0,2.423,132.0,1,2,1.0
01:41:28,0,0,0,0,11.46,126.0,4,1,1.0
01:47:38,0,0,-1,0,18.221,106.0,2,2,0.0
01:49:43,0,0,0,0,3.906,128.0,5,1,1.0
01:52:29,0,0,0,0,7.205,101.0,5,1,1.0
01:53:15,0,0,0,0,49.102,128.0,4,2,1.0
01:57:02,0,0,0,0,22.045,120.0,5,2,1.0
01:58:15,0,0,0,0,10.338,97.0,2,1,1.0
02:10:13,0,0,0,0,6.12,120.0,4,2,1.0
02:10:37,0,0,0,0,4.728,120.0,2,1,1.0
02:11:03,0,0,0,0,12.798,91.0,3,2,1.0
02:11:49,0,0,-1,0,17.795,96.0,1,2,0.0
02:12:32,0,0,0,0,5.943,126.0,1,2,1.0
