elapsed_time,con_pro_win,con_pro_lose,con_game_win,con_game_lose,con_set_win,con_set_lose,is_server,mean_performance,is_win
1900-01-01 00:00:00,2,2,0,1,0,0,-1,0.11618603900539352,0
1900-01-01 00:08:02,2,3,0,2,0,0,1,0.29035503610524144,0
1900-01-01 00:12:45,2,3,0,3,0,0,-1,0.30771927914050906,0
1900-01-01 00:19:49,2,2,0,4,0,0,1,0.3134149774711638,0
1900-01-01 00:25:06,1,2,0,5,0,0,-1,0.12212309323449204,0
1900-01-01 00:28:47,2,2,1,5,0,0,1,0.3163640952979066,1
1900-01-01 00:32:28,0,4,1,5,0,1,-1,0.11670470366524689,0
1900-01-01 00:36:28,3,1,1,0,0,1,1,0.4022500825854321,1
1900-01-01 00:39:35,2,3,2,0,0,1,-1,0.1670125646838575,1
1900-01-01 00:48:48,2,3,2,1,0,1,1,0.4066759290312756,0
1900-01-01 00:56:40,2,3,2,2,0,1,-1,0.24219173466036512,0
1900-01-01 01:03:48,3,2,2,2,0,1,1,0.3730950013675386,1
1900-01-01 01:11:20,2,4,2,2,0,1,-1,0.17905563726768292,0
1900-01-01 01:16:45,4,0,2,2,0,1,1,0.4040648277941437,1
1900-01-01 01:21:22,1,3,2,2,0,1,-1,0.18348993132465527,0
1900-01-01 01:26:03,4,1,2,2,0,1,1,0.2755846798884244,1
1900-01-01 01:31:34,1,2,2,2,0,1,-1,0.2227993488203779,0
1900-01-01 01:38:38,4,1,2,2,0,1,1,0.32417963913725406,1
1900-01-01 01:43:24,1,2,2,2,0,1,-1,0.18155997202226717,0
1900-01-01 01:47:38,3,3,2,2,1,1,0,0.23532863006816165,1
1900-01-01 02:02:01,2,2,1,0,1,1,-1,0.22787553167740376,1
1900-01-01 02:09:21,3,1,2,0,1,1,1,0.3312862792395447,1
1900-01-01 02:13:01,2,3,2,1,1,1,-1,0.21767867951029074,0
1900-01-01 02:19:00,4,3,2,1,1,1,1,0.2973176702966218,1
1900-01-01 02:26:08,3,3,2,1,1,1,-1,0.1867153284892928,1
1900-01-01 02:54:24,3,1,3,1,1,1,1,0.27724652069323513,1
1900-01-01 02:57:04,3,1,4,1,2,1,-1,0.08523800478990463,1
1900-01-01 03:06:09,4,2,1,0,2,1,1,0.34558250984731714,1
1900-01-01 03:10:06,2,4,1,1,2,1,-1,0.313427016860376,0
1900-01-01 03:16:06,2,2,1,1,2,1,1,0.2788922120971679,1
1900-01-01 03:25:30,2,2,1,1,2,1,-1,0.2487989302388261,0
1900-01-01 03:32:08,1,2,1,2,2,1,1,0.30797726355471444,0
1900-01-01 03:41:07,1,2,1,3,2,1,-1,0.21753437694882072,0
1900-01-01 03:45:09,3,1,1,3,2,1,1,0.2356736594172773,1
1900-01-01 03:49:35,0,4,1,3,2,1,-1,0.16788476339097735,0
1900-01-01 03:52:02,1,3,1,3,2,1,1,0.22401966154281108,0
1900-01-01 03:57:11,3,2,0,1,2,1,-1,0.15543464821698388,0
1900-01-01 04:05:45,3,1,1,1,2,1,1,0.3419539310139341,1
1900-01-01 04:12:24,2,1,2,1,2,1,-1,0.22664533498299763,1
1900-01-01 04:18:08,4,0,3,1,2,1,1,0.20494090182764554,1
1900-01-01 04:20:10,1,3,3,1,2,1,-1,0.08903560109420605,0
1900-01-01 04:23:53,3,1,3,1,2,1,1,0.25221024506774953,1
1900-01-01 04:27:39,1,2,3,1,2,1,-1,0.15336470521899,0
1900-01-01 04:32:45,4,1,3,1,2,1,1,0.17961394437369446,1
1900-01-01 04:35:50,1,3,3,1,2,1,-1,0.11327848381485786,0
1900-01-01 04:39:31,2,1,3,1,2,1,1,0.3963928435430193,1
