elapsed_time,set_no,game_no,point_no,sets,games,server,point_victor,1
1900-01-01 00:00:00,1,1,1,0,0,0,0,0.0493555834677036
1900-01-01 00:00:25,1,1,2,0,0,0,1,0.1552386633376577
1900-01-01 00:01:19,1,1,3,0,0,0,1,0.0571031408309684
1900-01-01 00:02:17,1,1,4,0,0,0,0,0.0349080378398077
1900-01-01 00:03:02,1,1,5,0,0,0,1,0.1089389746407347
1900-01-01 00:03:38,1,1,6,0,0,0,0,0.0656038410099613
1900-01-01 00:04:05,1,1,7,0,0,0,0,0.1862695534944344
1900-01-01 00:04:41,1,1,8,0,0,0,1,0.2019996191697929
1900-01-01 00:06:03,1,1,9,0,0,0,0,0.2343072308615318
1900-01-01 00:06:43,1,1,10,0,0,0,0,0.0681357454013426
1900-01-01 00:08:02,1,2,11,0,0,1,0,0.24299345704523
1900-01-01 00:08:28,1,2,12,0,0,1,0,0.3527631054129875
1900-01-01 00:09:22,1,2,13,0,0,1,0,0.2809904191561914
1900-01-01 00:10:25,1,2,14,0,0,1,1,0.2895245688030426
1900-01-01 00:10:57,1,2,15,0,0,1,1,0.3094797159926561
1900-01-01 00:11:29,1,2,16,0,0,1,0,0.2663789502213412
1900-01-01 00:12:45,1,3,17,0,0,0,0,0.1598702469166656
1900-01-01 00:13:23,1,3,18,0,0,0,1,0.2565774055611488
1900-01-01 00:14:24,1,3,19,0,0,0,1,0.2745009285293937
1900-01-01 00:15:30,1,3,20,0,0,0,0,0.7635206624730962
1900-01-01 00:17:03,1,3,21,0,0,0,0,0.3918464313627502
1900-01-01 00:18:02,1,3,22,0,0,0,0,0.0
1900-01-01 00:19:49,1,4,23,0,0,1,0,0.2228834622923399
1900-01-01 00:20:15,1,4,24,0,0,1,1,0.2646983077546259
1900-01-01 00:20:38,1,4,25,0,0,1,0,0.5704481096668754
1900-01-01 00:21:15,1,4,26,0,0,1,0,0.4446371790694774
1900-01-01 00:21:55,1,4,27,0,0,1,1,0.212562847310642
1900-01-01 00:22:36,1,4,28,0,0,1,1,0.2889097022044803
1900-01-01 00:23:16,1,4,29,0,0,1,0,0.3975013958115416
1900-01-01 00:24:11,1,4,30,0,0,1,0,0.105678815659328
1900-01-01 00:25:06,1,5,31,0,0,0,0,0.0511018090510069
1900-01-01 00:25:28,1,5,32,0,0,0,0,0.101808246271832
1900-01-01 00:25:57,1,5,33,0,0,0,1,0.1321414194342362
1900-01-01 00:26:33,1,5,34,0,0,0,0,0.2133113392962487
1900-01-01 00:27:10,1,5,35,0,0,0,0,0.1122526521191364
1900-01-01 00:28:47,1,6,36,0,0,1,1,0.3587783118054284
1900-01-01 00:29:15,1,6,37,0,0,1,1,0.3664873476429
1900-01-01 00:29:37,1,6,38,0,0,1,0,0.1010036673318827
1900-01-01 00:30:15,1,6,39,0,0,1,0,0.1241779077978837
1900-01-01 00:30:55,1,6,40,0,0,1,1,0.6055711167510728
1900-01-01 00:31:36,1,6,41,0,0,1,1,0.342166220458272
1900-01-01 00:32:28,1,7,42,0,1,0,0,0.2659534511023392
1900-01-01 00:33:11,1,7,43,0,1,0,0,0.0644291344933875
1900-01-01 00:33:55,1,7,44,0,1,0,0,0.0307648705360269
1900-01-01 00:34:19,1,7,45,0,1,0,0,0.105671358529234
1900-01-01 00:36:28,2,1,46,0,0,1,1,0.4178713322288709
1900-01-01 00:36:58,2,1,47,0,0,1,0,0.6288917530054755
1900-01-01 00:37:34,2,1,48,0,0,1,1,0.4161879240812012
1900-01-01 00:38:07,2,1,49,0,0,1,1,0.2364611420621677
1900-01-01 00:38:34,2,1,50,0,0,1,1,0.3118382615494451
1900-01-01 00:39:35,2,2,51,0,1,0,1,0.0145686609241992
1900-01-01 00:40:32,2,2,52,0,1,0,1,0.1737140594855314
1900-01-01 00:41:29,2,2,53,0,1,0,0,0.1988802674946104
1900-01-01 00:42:10,2,2,54,0,1,0,0,0.2786382973206742
1900-01-01 00:43:16,2,2,55,0,1,0,0,0.0271982871512612
1900-01-01 00:44:16,2,2,56,0,1,0,1,0.3148361526307762
1900-01-01 00:45:23,2,2,57,0,1,0,1,0.1406181425340572
1900-01-01 00:46:38,2,2,58,0,1,0,0,0.0636187449459231
1900-01-01 00:47:10,2,2,59,0,1,0,1,0.265119084475703
1900-01-01 00:48:01,2,2,60,0,1,0,1,0.1929339498758392
1900-01-01 00:48:48,2,3,61,0,2,1,0,0.1537738070882343
1900-01-01 00:49:32,2,3,62,0,2,1,1,0.2104415964389902
1900-01-01 00:50:22,2,3,63,0,2,1,1,0.9539420446156968
1900-01-01 00:51:25,2,3,64,0,2,1,0,0.4436073494111886
1900-01-01 00:52:06,2,3,65,0,2,1,1,0.2077434557621429
1900-01-01 00:52:49,2,3,66,0,2,1,0,0.586016272721146
1900-01-01 00:53:31,2,3,67,0,2,1,0,0.30769264931186
1900-01-01 00:54:08,2,3,68,0,2,1,0,0.3901902569009461
1900-01-01 00:56:40,2,4,69,0,2,0,1,0.1954595101455344
1900-01-01 00:57:17,2,4,70,0,2,0,1,0.2913618897040247
1900-01-01 00:58:25,2,4,71,0,2,0,0,0.1197811907188496
1900-01-01 00:59:14,2,4,72,0,2,0,0,0.0384169628326718
1900-01-01 01:00:04,2,4,73,0,2,0,1,0.0727377414397071
1900-01-01 01:01:00,2,4,74,0,2,0,0,0.9833524649065029
1900-01-01 01:02:27,2,4,75,0,2,0,0,0.1976200197859057
1900-01-01 01:03:10,2,4,76,0,2,0,0,0.0388040977497249
1900-01-01 01:03:48,2,5,77,0,2,1,0,0.4537907442279024
1900-01-01 01:04:49,2,5,78,0,2,1,1,0.3014549911791831
1900-01-01 01:05:15,2,5,79,0,2,1,1,0.2380499734571183
1900-01-01 01:05:42,2,5,80,0,2,1,1,0.546915703639839
1900-01-01 01:06:16,2,5,81,0,2,1,0,0.3380775612976993
1900-01-01 01:06:42,2,5,82,0,2,1,0,0.692404007664453
1900-01-01 01:07:32,2,5,83,0,2,1,1,0.3740131649714379
1900-01-01 01:08:08,2,5,84,0,2,1,0,0.3060264529882148
1900-01-01 01:08:35,2,5,85,0,2,1,1,0.2327545540879402
1900-01-01 01:09:18,2,5,86,0,2,1,1,0.2474628601615977
1900-01-01 01:11:20,2,6,87,0,3,0,1,0.5740847564462811
1900-01-01 01:12:26,2,6,88,0,3,0,1,0.2595747024497308
1900-01-01 01:13:52,2,6,89,0,3,0,0,0.0423624442213618
1900-01-01 01:14:39,2,6,90,0,3,0,0,0.0870229872056557
1900-01-01 01:15:16,2,6,91,0,3,0,0,0.0585809261719473
1900-01-01 01:16:02,2,6,92,0,3,0,0,0.0527080071111208
1900-01-01 01:16:45,2,7,93,0,3,1,1,0.3278944054964233
1900-01-01 01:17:34,2,7,94,0,3,1,1,0.9872284951095937
1900-01-01 01:18:29,2,7,95,0,3,1,1,0.1031928603293819
1900-01-01 01:19:11,2,7,96,0,3,1,1,0.1979435502411759
1900-01-01 01:21:22,2,8,97,0,4,0,0,0.078580151248647
1900-01-01 01:22:31,2,8,98,0,4,0,1,0.3941997501169553
1900-01-01 01:23:20,2,8,99,0,4,0,0,0.2894780749981606
1900-01-01 01:24:23,2,8,100,0,4,0,0,0.1113548285880984
1900-01-01 01:25:13,2,8,101,0,4,0,0,0.043836851671415
1900-01-01 01:26:03,2,9,102,0,4,1,0,0.2534704513648722
1900-01-01 01:26:31,2,9,103,0,4,1,1,0.328481369090507
1900-01-01 01:28:01,2,9,104,0,4,1,1,0.2172194174700742
1900-01-01 01:28:26,2,9,105,0,4,1,1,0.4012354804288318
1900-01-01 01:29:17,2,9,106,0,4,1,1,0.1775166810878368
1900-01-01 01:31:34,2,10,107,0,5,0,1,0.091946222856043
1900-01-01 01:32:06,2,10,108,0,5,0,0,0.1748531918979328
1900-01-01 01:32:50,2,10,109,0,5,0,0,0.3100785947332619
1900-01-01 01:33:21,2,10,110,0,5,0,1,0.2590979009785583
1900-01-01 01:35:06,2,10,111,0,5,0,0,0.0804252197894957
1900-01-01 01:35:40,2,10,112,0,5,0,1,0.1321423589245333
1900-01-01 01:36:21,2,10,113,0,5,0,0,0.3663778959685347
1900-01-01 01:37:19,2,10,114,0,5,0,0,0.3674734054146636
1900-01-01 01:38:38,2,11,115,0,5,1,0,0.2196002093192615
1900-01-01 01:39:23,2,11,116,0,5,1,1,0.5848008183211134
1900-01-01 01:40:32,2,11,117,0,5,1,1,0.1972462232672804
1900-01-01 01:41:01,2,11,118,0,5,1,1,0.2756483035437512
1900-01-01 01:41:28,2,11,119,0,5,1,1,0.3436026412348638
1900-01-01 01:43:24,2,12,120,0,6,0,0,0.2117463258017788
1900-01-01 01:44:03,2,12,121,0,6,0,1,0.1017646233055595
1900-01-01 01:45:02,2,12,122,0,6,0,0,0.0390100205779447
1900-01-01 01:45:46,2,12,123,0,6,0,1,0.4835867313905735
1900-01-01 01:46:31,2,12,124,0,6,0,0,0.174573136851554
1900-01-01 01:46:59,2,12,125,0,6,0,0,0.0786789942061925
1900-01-01 01:47:38,2,13,126,0,6,1,0,0.2459345602474457
1900-01-01 01:48:37,2,13,127,0,6,0,0,0.1197564799794632
1900-01-01 01:49:07,2,13,128,0,6,0,0,0.0565464086291364
1900-01-01 01:49:43,2,13,129,0,6,1,1,0.2846269006695664
1900-01-01 01:50:07,2,13,130,0,6,1,1,0.1258430173922324
1900-01-01 01:50:45,2,13,131,0,6,0,1,0.1468123012069065
1900-01-01 01:51:49,2,13,132,0,6,0,0,0.2021091374410957
1900-01-01 01:52:29,2,13,133,0,6,1,1,0.1200211553831164
1900-01-01 01:53:15,2,13,134,0,6,1,1,0.770039108592384
1900-01-01 01:54:58,2,13,135,0,6,0,0,0.1566907984489531
1900-01-01 01:56:00,2,13,136,0,6,0,0,0.4672718448830711
1900-01-01 01:57:02,2,13,137,0,6,1,1,0.427305427617796
1900-01-01 01:58:15,2,13,138,0,6,1,1,0.1018309826744068
1900-01-01 01:59:06,2,13,139,0,6,0,1,0.0698126977886898
1900-01-01 02:02:01,3,1,140,1,0,0,1,0.1324635985365561
1900-01-01 02:02:31,3,1,141,1,0,0,0,0.3929584146351367
1900-01-01 02:03:20,3,1,142,1,0,0,0,0.0452371269033091
1900-01-01 02:04:02,3,1,143,1,0,0,1,0.1947996176049341
1900-01-01 02:04:40,3,1,144,1,0,0,1,0.5181900034446162
1900-01-01 02:05:29,3,1,145,1,0,0,0,0.0478121086517771
1900-01-01 02:06:14,3,1,146,1,0,0,1,0.3484345212831065
1900-01-01 02:07:43,3,1,147,1,0,0,1,0.1431088623597945
1900-01-01 02:09:21,3,2,148,1,1,1,0,1.0
1900-01-01 02:10:13,3,2,149,1,1,1,1,0.2487011418589748
1900-01-01 02:10:37,3,2,150,1,1,1,1,0.21195338515525
1900-01-01 02:11:03,3,2,151,1,1,1,1,0.0981897477039023
1900-01-01 02:11:49,3,2,152,1,1,1,0,0.1598450030532415
1900-01-01 02:12:32,3,2,153,1,1,1,1,0.2690283976658996
1900-01-01 02:13:01,3,3,154,1,2,0,0,0.0413493039065207
1900-01-01 02:13:21,3,3,155,1,2,0,1,0.5213355647695164
1900-01-01 02:14:16,3,3,156,1,2,0,1,0.194421659091307
1900-01-01 02:14:54,3,3,157,1,2,0,0,0.4115903121324575
1900-01-01 02:16:00,3,3,158,1,2,0,0,0.0920557411273458
1900-01-01 02:16:45,3,3,159,1,2,0,0,0.045319496034597
1900-01-01 02:19:00,3,4,160,1,2,1,1,0.5334266721122575
1900-01-01 02:19:40,3,4,161,1,2,1,0,0.22421955163775
1900-01-01 02:20:07,3,4,162,1,2,1,0,0.2681774955469548
1900-01-01 02:20:41,3,4,163,1,2,1,0,0.3852990505580972
1900-01-01 02:21:37,3,4,164,1,2,1,1,0.3673598927929942
1900-01-01 02:22:32,3,4,165,1,2,1,1,0.125215449370717
1900-01-01 02:23:42,3,4,166,1,2,1,1,0.1480817689013856
1900-01-01 02:24:29,3,4,167,1,2,1,1,0.3267614814528183
1900-01-01 02:26:08,3,5,168,1,3,0,1,0.0988981775367409
1900-01-01 02:26:35,3,5,169,1,3,0,0,0.0493473465545748
1900-01-01 02:27:11,3,5,170,1,3,0,0,0.0985052441071876
1900-01-01 02:28:31,3,5,171,1,3,0,0,0.1785598028058879
1900-01-01 02:29:41,3,5,172,1,3,0,1,0.1417044755767602
1900-01-01 02:30:22,3,5,173,1,3,0,1,0.0901011543151943
1900-01-01 02:30:52,3,5,174,1,3,0,0,0.0647339002791527
1900-01-01 02:31:32,3,5,175,1,3,0,1,0.4088779293124573
1900-01-01 02:32:34,3,5,176,1,3,0,0,0.2474533442150791
1900-01-01 02:33:15,3,5,177,1,3,0,1,0.1443412272682698
1900-01-01 02:34:06,3,5,178,1,3,0,1,0.1104133820907879
1900-01-01 02:34:44,3,5,179,1,3,0,0,0.1960765449699791
1900-01-01 02:35:17,3,5,180,1,3,0,0,0.1559082917017182
1900-01-01 02:36:24,3,5,181,1,3,0,1,0.1422078667679135
1900-01-01 02:38:07,3,5,182,1,3,0,1,0.0427141930852712
1900-01-01 02:38:49,3,5,183,1,3,0,0,0.22531758657718
1900-01-01 02:39:29,3,5,184,1,3,0,0,0.2634659033374449
1900-01-01 02:40:07,3,5,185,1,3,0,1,0.0817159767500871
1900-01-01 02:41:01,3,5,186,1,3,0,1,0.414198975193655
1900-01-01 02:42:05,3,5,187,1,3,0,0,0.1242588994000677
1900-01-01 02:42:38,3,5,188,1,3,0,0,0.1617565000231583
1900-01-01 02:43:11,3,5,189,1,3,0,1,0.3296882464922799
1900-01-01 02:44:03,3,5,190,1,3,0,1,0.2693363839976429
1900-01-01 02:45:06,3,5,191,1,3,0,0,0.146539749413442
1900-01-01 02:45:39,3,5,192,1,3,0,1,0.2034905004461037
1900-01-01 02:46:35,3,5,193,1,3,0,0,0.0688738955220905
1900-01-01 02:47:01,3,5,194,1,3,0,1,0.28350387457916
1900-01-01 02:47:47,3,5,195,1,3,0,0,0.1105526759537628
1900-01-01 02:48:55,3,5,196,1,3,0,0,0.2625598428932781
1900-01-01 02:50:04,3,5,197,1,3,0,1,0.356885594153244
1900-01-01 02:51:11,3,5,198,1,3,0,1,0.4296926087889072
1900-01-01 02:52:06,3,5,199,1,3,0,1,0.0732104175488911
1900-01-01 02:54:24,3,6,200,1,4,1,1,0.3175529910740629
1900-01-01 02:54:45,3,6,201,1,4,1,1,0.421923949128496
1900-01-01 02:55:21,3,6,202,1,4,1,1,0.1569368289225462
1900-01-01 02:55:41,3,6,203,1,4,1,0,0.2516570723072083
1900-01-01 02:56:03,3,6,204,1,4,1,1,0.2381617620338621
1900-01-01 02:57:04,3,7,205,1,5,0,1,0.1072329941327782
1900-01-01 02:57:28,3,7,206,1,5,0,1,0.0593682919413853
1900-01-01 02:58:04,3,7,207,1,5,0,1,0.1056277355629615
1900-01-01 02:58:24,3,7,208,1,5,0,0,0.0463624119411102
1900-01-01 02:58:42,3,7,209,1,5,0,1,0.107598590371288
1900-01-01 03:06:09,4,1,210,2,0,1,0,0.3257890980711893
1900-01-01 03:06:36,4,1,211,2,0,1,0,0.1459649945989908
1900-01-01 03:07:16,4,1,212,2,0,1,1,0.3164586612153906
1900-01-01 03:07:56,4,1,213,2,0,1,1,0.422586367500479
1900-01-01 03:08:31,4,1,214,2,0,1,1,0.5524519119865288
1900-01-01 03:09:09,4,1,215,2,0,1,1,0.3102440257113245
1900-01-01 03:10:06,4,2,216,2,1,0,1,1.0
1900-01-01 03:10:52,4,2,217,2,1,0,1,0.1372153579215702
1900-01-01 03:11:45,4,2,218,2,1,0,0,0.2537051612798299
1900-01-01 03:12:16,4,2,219,2,1,0,1,0.1114750043941046
1900-01-01 03:13:16,4,2,220,2,1,0,0,0.2498059293090697
1900-01-01 03:14:05,4,2,221,2,1,0,0,0.3616220250323804
1900-01-01 03:14:43,4,2,222,2,1,0,0,0.333026634710068
1900-01-01 03:15:18,4,2,223,2,1,0,0,0.0605660222359855
1900-01-01 03:16:06,4,3,224,2,1,1,1,0.1428100231468591
1900-01-01 03:16:43,4,3,225,2,1,1,0,0.1663578079537562
1900-01-01 03:17:19,4,3,226,2,1,1,1,0.3549104144772975
1900-01-01 03:17:52,4,3,227,2,1,1,1,0.1873375555207656
1900-01-01 03:18:16,4,3,228,2,1,1,0,0.5465980149479913
1900-01-01 03:19:10,4,3,229,2,1,1,0,0.1809905232899389
1900-01-01 03:19:56,4,3,230,2,1,1,1,0.4250836061439769
1900-01-01 03:20:31,4,3,231,2,1,1,0,0.1362736643736374
1900-01-01 03:21:09,4,3,232,2,1,1,1,0.1643980415982857
1900-01-01 03:21:39,4,3,233,2,1,1,0,0.1607533514488455
1900-01-01 03:22:27,4,3,234,2,1,1,1,0.5760857721311792
1900-01-01 03:23:33,4,3,235,2,1,1,1,0.3051077701334809
1900-01-01 03:25:30,4,4,236,2,2,0,0,0.3368485624018261
1900-01-01 03:26:14,4,4,237,2,2,0,0,0.0928629586139671
1900-01-01 03:26:55,4,4,238,2,2,0,1,0.312150918950791
1900-01-01 03:27:55,4,4,239,2,2,0,1,0.3590693156226703
1900-01-01 03:28:35,4,4,240,2,2,0,0,0.0851532079254206
1900-01-01 03:29:38,4,4,241,2,2,0,1,0.3013440889258199
1900-01-01 03:30:20,4,4,242,2,2,0,0,0.2065158859649978
1900-01-01 03:31:20,4,4,243,2,2,0,0,0.2964465035051161
1900-01-01 03:32:08,4,5,244,2,2,1,1,0.317072293907666
1900-01-01 03:32:56,4,5,245,2,2,1,0,0.2583583091065209
1900-01-01 03:33:46,4,5,246,2,2,1,1,0.2904318598511899
1900-01-01 03:34:15,4,5,247,2,2,1,0,0.2414905670645148
1900-01-01 03:34:49,4,5,248,2,2,1,0,0.3428612084536316
1900-01-01 03:35:30,4,5,249,2,2,1,1,0.2390120131667658
1900-01-01 03:36:20,4,5,250,2,2,1,0,0.1672402320802198
1900-01-01 03:37:46,4,5,251,2,2,1,1,0.3285083324534154
1900-01-01 03:38:20,4,5,252,2,2,1,0,0.4036033030972939
1900-01-01 03:39:00,4,5,253,2,2,1,0,0.4911945163659263
1900-01-01 03:41:07,4,6,254,2,2,0,0,0.1934191940902233
1900-01-01 03:41:33,4,6,255,2,2,0,1,0.2627376770911858
1900-01-01 03:42:14,4,6,256,2,2,0,0,0.1874227213324648
1900-01-01 03:42:43,4,6,257,2,2,0,0,0.379441640190794
1900-01-01 03:43:42,4,6,258,2,2,0,1,0.1783175544342273
1900-01-01 03:44:35,4,6,259,2,2,0,0,0.1038674745540292
1900-01-01 03:45:09,4,7,260,2,2,1,1,0.3098032743420332
1900-01-01 03:45:38,4,7,261,2,2,1,0,0.1581325168477499
1900-01-01 03:46:36,4,7,262,2,2,1,1,0.1831420337587881
1900-01-01 03:47:00,4,7,263,2,2,1,1,0.4021462069164104
1900-01-01 03:47:46,4,7,264,2,2,1,1,0.1251442652214048
1900-01-01 03:49:35,4,8,265,2,3,0,0,0.1136529273510306
1900-01-01 03:50:02,4,8,266,2,3,0,0,0.3735522473037099
1900-01-01 03:50:56,4,8,267,2,3,0,0,0.1201518518096451
1900-01-01 03:51:26,4,8,268,2,3,0,0,0.0641820270995238
1900-01-01 03:52:02,4,9,269,2,3,1,0,0.4035862369644439
1900-01-01 03:52:30,4,9,270,2,3,1,0,0.1309859098337175
1900-01-01 03:53:13,4,9,271,2,3,1,0,0.1301040077384984
1900-01-01 03:53:55,4,9,272,2,3,1,1,0.3022084051732799
1900-01-01 03:54:19,4,9,273,2,3,1,0,0.1532137480041155
1900-01-01 03:57:11,5,1,274,2,0,0,0,0.2064088060943235
1900-01-01 03:57:58,5,1,275,2,0,0,0,0.2173474267293553
1900-01-01 03:59:07,5,1,276,2,0,0,1,0.0813526130821232
1900-01-01 03:59:51,5,1,277,2,0,0,1,0.1793389316621971
