elapsed_time,ace,double_fault,unf_err,net_pt_won,distance_run,speed_mph,serve_width,serve_depth,point_victor
00:08:02,0,0,-1,0,5.54,123.0,3,2,0
00:08:28,0,0,0,0,16.819,119.0,4,2,0
00:09:22,0,0,-1,0,21.482,107.0,1,2,0
00:10:25,0,0,0,0,9.876,121.0,4,1,1
00:10:57,0,0,0,0,7.638,128.0,2,2,1
00:11:29,0,0,0,0,21.88,101.0,3,2,0
00:19:49,0,0,0,0,12.278,108.0,5,1,0
00:20:15,0,0,0,0,2.783,128.0,3,2,1
00:20:38,0,0,0,0,30.865,128.0,4,2,0
00:21:15,0,0,-1,0,27.744,117.0,4,2,0
00:21:55,0,0,0,0,12.367,110.0,1,1,1
00:22:36,0,0,0,0,5.683,128.0,3,1,1
00:23:16,0,0,0,0,35.456,98.0,4,2,0
00:24:11,0,0,0,0,11.067,95.0,3,2,0
00:28:47,0,0,0,1,9.156,129.0,4,2,1
00:29:15,0,0,0,0,9.453,131.0,5,1,1
00:29:37,0,0,-1,0,6.807,103.0,2,2,0
00:30:15,0,-1,-1,0,1.076,114.83216783216784,4,1,0
00:30:55,0,0,0,1,33.492,130.0,1,2,1
00:31:36,0,0,0,0,16.193,118.0,4,2,1
00:36:28,0,0,0,1,24.951,114.0,5,1,1
00:36:58,0,0,0,0,34.923,129.0,5,2,0
00:37:34,0,0,0,1,19.28,126.0,1,1,1
00:38:07,0,0,0,1,5.36,117.0,5,2,1
00:38:34,0,0,0,0,9.236,126.0,2,2,1
00:48:48,0,-1,-1,0,5.897,114.83216783216784,1,1,0
00:49:32,0,0,0,1,22.24,93.0,1,2,1
00:50:22,0,0,0,0,70.345,125.0,1,2,1
00:51:25,0,0,0,0,23.891,120.0,5,2,0
00:52:06,0,0,0,0,9.203,112.0,2,2,1
00:52:49,0,0,-1,0,37.449,122.0,4,2,0
00:53:31,0,0,0,0,17.41,115.0,2,1,0
00:54:08,0,0,-1,0,40.601,92.0,3,2,0
01:03:48,0,0,-1,0,38.935,105.0,1,2,0
01:04:49,0,0,0,0,6.85,126.0,5,1,1
01:05:15,0,0,0,0,9.265,113.0,5,2,1
01:05:42,0,0,0,1,28.725,126.0,4,2,1
01:06:16,0,0,0,0,6.492,132.0,4,2,0
01:06:42,0,0,0,0,42.899,128.0,3,2,0
01:07:32,0,0,0,1,21.602,116.0,1,2,1
01:08:08,0,0,0,0,10.362,123.0,4,1,0
01:08:35,0,0,0,0,3.258,124.0,2,2,1
01:09:18,0,0,0,0,12.167,115.0,1,1,1
01:16:45,0,0,0,1,22.137,109.0,1,2,1
01:17:34,0,0,0,0,67.927,129.0,5,2,1
01:18:29,0,0,0,0,7.749,100.0,2,2,1
01:19:11,1,0,0,0,0.694,119.0,5,1,1
01:26:03,0,0,-1,0,5.136,124.0,4,2,0
01:26:31,0,0,0,0,21.813,108.0,4,2,1
01:28:01,1,0,0,0,4.555,116.0,5,1,1
01:28:26,0,0,0,0,24.445,114.0,4,2,1
01:29:17,0,0,0,0,7.039,109.0,5,1,1
01:38:38,0,0,-1,0,15.082,106.0,3,2,0
01:39:23,0,0,0,0,51.171,101.0,3,2,1
01:40:32,0,0,0,0,8.185,110.0,5,1,1
01:41:01,0,0,0,0,2.423,132.0,1,2,1
01:41:28,0,0,0,0,11.46,126.0,4,1,1
01:47:38,0,0,-1,0,18.221,106.0,2,2,0
01:49:43,0,0,0,0,3.906,128.0,5,1,1
01:50:07,1,0,0,0,0.88,109.0,5,1,1
01:52:29,0,0,0,0,7.205,101.0,5,1,1
01:53:15,0,0,0,0,49.102,128.0,4,2,1
01:57:02,0,0,0,0,22.045,120.0,5,2,1
01:58:15,0,0,0,0,10.338,97.0,2,1,1
02:09:21,0,0,-1,0,82.852,113.0,3,2,0
02:10:13,0,0,0,0,6.12,120.0,4,2,1
02:10:37,0,0,0,0,4.728,120.0,2,1,1
02:11:03,0,0,0,0,12.798,91.0,3,2,1
02:11:49,0,0,-1,0,17.795,96.0,1,2,0
02:12:32,0,0,0,0,5.943,126.0,1,2,1
02:19:00,0,0,0,0,36.011,115.0,5,1,1
02:19:40,0,0,-1,0,9.308,114.0,4,2,0
02:20:07,0,0,-1,0,15.465,113.0,2,2,0
02:20:41,0,0,-1,0,33.253,102.0,3,2,0
02:21:37,0,0,0,0,30.944,102.0,2,2,1
02:22:32,0,0,0,0,1.526,112.0,2,2,1
02:23:42,0,0,0,1,11.614,97.0,4,2,1
02:24:29,0,0,0,0,7.867,128.0,4,2,1
02:54:24,0,0,0,0,8.389,129.0,1,2,1
02:54:45,0,0,0,0,22.923,119.0,4,2,1
02:55:21,0,0,0,0,3.746,114.0,2,1,1
02:55:41,0,0,0,0,6.683,120.0,5,1,0
02:56:03,0,0,0,0,10.654,112.0,4,2,1
03:06:09,0,0,0,0,17.067,116.0,3,2,0
03:06:36,0,-1,-1,0,3.792,114.83216783216784,3,1,0
03:07:16,0,0,0,0,5.53,130.0,4,2,1
03:07:56,0,0,0,0,18.118,128.0,3,1,1
03:08:31,0,0,0,1,36.133,118.0,2,2,1
03:09:09,0,0,0,1,8.777,123.0,4,2,1
03:16:06,0,0,0,0,3.852,111.0,2,2,1
03:16:43,0,-1,-1,0,5.689,114.83216783216784,3,1,0
03:17:19,0,0,0,1,12.932,123.0,4,2,1
03:17:52,1,0,0,0,1.086,118.0,4,1,1
03:18:16,0,0,0,0,36.918,116.0,4,2,0
03:19:10,0,0,0,0,15.274,98.0,5,1,0
03:19:56,0,0,0,1,16.661,130.0,2,1,1
03:20:31,0,-1,-1,0,2.932,114.83216783216784,2,2,0
03:21:09,1,0,0,0,1.02,114.0,5,1,1
03:21:39,0,0,0,0,20.326,89.0,3,2,0
03:22:27,0,0,0,1,48.671,102.0,3,2,1
03:23:33,0,0,0,0,16.84,114.0,3,1,1
03:32:08,0,0,0,1,27.334,100.0,1,2,1
03:32:56,0,0,0,0,25.959,94.0,3,2,0
03:33:46,0,0,0,0,11.339,122.0,1,1,1
03:34:15,0,0,-1,0,9.536,119.0,1,2,0
03:34:49,0,0,0,0,20.723,114.0,2,2,0
03:35:30,0,0,0,0,19.694,100.0,3,2,1
03:36:20,0,0,0,0,5.034,111.0,5,1,0
03:37:46,0,0,0,1,10.476,126.0,1,2,1
03:38:20,0,0,0,0,13.966,130.0,4,2,0
03:39:00,0,0,-1,0,30.007,122.0,2,2,0
03:45:09,0,0,0,0,9.736,125.0,2,2,1
03:45:38,0,0,0,0,17.325,95.0,1,2,0
03:46:36,0,0,0,0,3.468,116.0,3,2,1
03:47:00,0,0,0,0,21.731,121.0,2,1,1
03:47:46,1,0,0,0,0.815,109.0,5,1,1
03:52:02,0,0,0,0,18.748,123.0,5,1,0
03:52:30,0,-1,-1,0,1.02,114.83216783216784,5,1,0
03:53:13,0,0,0,0,8.514,104.0,1,2,0
03:53:55,0,0,0,0,5.583,128.0,4,2,1
03:54:19,0,-1,-1,0,3.777,114.83216783216784,4,1,0
04:05:45,0,0,0,0,46.491,120.0,1,2,0
04:06:36,0,0,0,0,19.304,115.0,3,2,1
04:07:12,0,0,-1,0,6.127,95.0,3,2,0
04:07:59,0,0,0,0,11.511,118.0,4,1,1
04:08:33,0,0,0,0,16.367,93.0,4,2,0
04:09:19,0,0,0,0,70.542,122.0,3,2,1
04:10:25,0,0,0,0,9.154,101.0,1,2,1
04:11:15,0,0,0,0,24.903,87.0,1,2,1
04:18:08,0,0,0,0,4.242,110.0,3,2,1
04:18:35,0,0,0,0,4.133,119.0,4,2,1
04:19:02,0,0,0,0,7.917,114.0,5,2,1
04:19:28,1,0,0,0,0.851,123.0,4,1,1
04:23:53,0,0,0,0,20.512,99.0,2,2,0
04:24:40,0,0,0,1,10.757,121.0,2,2,1
04:25:26,0,0,0,0,13.286,119.0,3,2,0
04:25:55,0,0,0,0,4.419,100.0,1,2,1
04:26:37,0,0,0,0,14.776,128.0,2,2,1
04:27:09,1,0,0,0,0.766,123.0,5,1,1
04:32:45,0,0,-1,0,15.451,112.0,5,1,0
04:33:13,0,0,0,0,5.732,88.0,3,2,1
04:33:51,0,0,0,0,18.146,99.0,2,1,1
04:34:38,0,0,0,0,9.024,115.0,4,2,1
04:35:05,1,0,0,0,6.489,108.0,5,1,1
04:39:31,0,0,-1,0,6.772,127.0,4,2,0
04:39:58,0,0,0,0,38.62,123.0,4,2,1
04:40:43,0,0,0,1,17.533,114.0,5,2,1
04:41:20,0,0,0,0,10.882,124.0,5,2,0
04:41:52,0,0,0,0,7.893,130.0,4,2,1
04:42:27,0,0,0,1,17.811,129.0,3,2,1
