elapsed_time,con_pro_win,con_pro_lose,con_game_win,con_game_lose,con_set_win,con_set_lose,is_server,mean_performance,is_win
1900-01-01 00:00:00,2,2,1,0,0,0,1,0.2688533217603771,1
1900-01-01 00:08:02,3,2,2,0,0,0,-1,0.20148915218263339,1
1900-01-01 00:12:45,3,2,3,0,0,0,1,0.4011993093945585,1
1900-01-01 00:19:49,2,2,4,0,0,0,-1,0.24472010378291206,1
1900-01-01 00:25:06,2,1,5,0,0,0,1,0.2825244912226877,1
1900-01-01 00:28:47,2,2,5,1,0,0,-1,0.2269931333904469,0
1900-01-01 00:32:28,4,0,5,1,1,0,1,0.30659595774424786,1
1900-01-01 00:36:28,1,3,0,1,1,0,-1,0.2220308006749284,0
1900-01-01 00:39:35,3,2,0,2,1,0,1,0.23465277411182747,0
1900-01-01 00:48:48,3,2,1,2,1,0,-1,0.36692053701957233,1
1900-01-01 00:56:40,3,2,2,2,1,0,1,0.31660222736860216,1
1900-01-01 01:03:48,2,3,2,2,1,0,-1,0.26137500373098,0
1900-01-01 01:11:20,4,2,2,2,1,0,1,0.28365759775978167,1
1900-01-01 01:16:45,0,4,2,2,1,0,-1,0.30684584382031843,0
1900-01-01 01:21:22,3,1,2,2,1,0,1,0.19016196115718886,1
1900-01-01 01:26:03,1,4,2,2,1,0,-1,0.16772305125426787,0
1900-01-01 01:31:34,2,1,2,2,1,0,1,0.31686501019556024,1
1900-01-01 01:38:38,1,4,2,2,1,0,-1,0.2683466032872143,0
1900-01-01 01:43:24,2,1,2,2,1,0,1,0.24144584480082112,1
1900-01-01 01:47:38,3,3,2,2,1,1,0,0.25800795731167525,0
1900-01-01 02:02:01,2,2,0,1,1,1,1,0.2976117442529097,0
1900-01-01 02:09:21,1,3,0,2,1,1,-1,0.2799319708133688,0
1900-01-01 02:13:01,3,2,1,2,1,1,1,0.30665281156674656,1
1900-01-01 02:19:00,3,4,1,2,1,1,-1,0.2899505044760063,0
1900-01-01 02:26:08,3,3,1,2,1,1,1,0.2576193047428289,0
1900-01-01 02:54:24,1,3,1,3,1,1,-1,0.1342727493676169,0
1900-01-01 02:57:04,1,3,1,4,1,2,1,0.19910148435218228,0
1900-01-01 03:06:09,2,4,0,1,1,2,-1,0.22038186456912168,0
1900-01-01 03:10:06,4,2,1,1,1,2,1,0.2715621146169903,1
1900-01-01 03:16:06,2,2,1,1,1,2,-1,0.17125945754619964,0
1900-01-01 03:25:30,2,2,1,1,1,2,1,0.29263624624849244,1
1900-01-01 03:32:08,2,1,2,1,1,2,-1,0.2597440219666116,1
1900-01-01 03:41:07,2,1,3,1,1,2,1,0.29006295127171683,1
1900-01-01 03:45:09,1,3,3,1,1,2,-1,0.1699088132658805,0
1900-01-01 03:49:35,4,0,3,1,1,2,1,0.24167260663344578,1
1900-01-01 03:52:02,3,1,3,1,1,2,-1,0.15369879818897705,1
1900-01-01 03:57:11,2,3,1,0,1,2,1,0.22302131056298932,1
1900-01-01 04:05:45,1,3,1,1,1,2,-1,0.3611449616660427,0
1900-01-01 04:12:24,1,2,1,2,1,2,1,0.3134178689193264,0
1900-01-01 04:18:08,0,4,1,3,1,2,-1,0.06153713840456865,0
1900-01-01 04:20:10,3,1,1,3,1,2,1,0.17890921021795808,1
1900-01-01 04:23:53,1,3,1,3,1,2,-1,0.15071503613648893,0
1900-01-01 04:27:39,2,1,1,3,1,2,1,0.25323013057921295,1
1900-01-01 04:32:45,1,4,1,3,1,2,-1,0.2311839289111417,0
1900-01-01 04:35:50,3,1,1,3,1,2,1,0.1854601551426583,1
1900-01-01 04:39:31,1,2,1,3,1,2,-1,0.2962702356232106,0
