elapsed_time,set_no,game_no,point_no,sets,games,server,point_victor,1
1900-01-01 00:00:00,1,1,1,0,0,1,1,0.1489840314771333
1900-01-01 00:00:25,1,1,2,0,0,1,0,0.3978167258014257
1900-01-01 00:01:19,1,1,3,0,0,1,0,0.0697172090087263
1900-01-01 00:02:17,1,1,4,0,0,1,1,0.1855511768168714
1900-01-01 00:03:02,1,1,5,0,0,1,0,0.1575467852072858
1900-01-01 00:03:38,1,1,6,0,0,1,1,0.2863421743683516
1900-01-01 00:04:05,1,1,7,0,0,1,1,0.2968489591315792
1900-01-01 00:04:41,1,1,8,0,0,1,0,0.4059853625766967
1900-01-01 00:06:03,1,1,9,0,0,1,1,0.470882896280408
1900-01-01 00:06:43,1,1,10,0,0,1,1,0.268857896935293
1900-01-01 00:08:02,1,2,11,0,1,0,1,0.1298320601926484
1900-01-01 00:08:28,1,2,12,0,1,0,1,0.269488907785542
1900-01-01 00:09:22,1,2,13,0,1,0,1,0.30340068871446
1900-01-01 00:10:25,1,2,14,0,1,0,0,0.1826075239757722
1900-01-01 00:10:57,1,2,15,0,1,0,0,0.0859032635546085
1900-01-01 00:11:29,1,2,16,0,1,0,1,0.2377024688727691
1900-01-01 00:12:45,1,3,17,0,2,1,1,0.3481476748449224
1900-01-01 00:13:23,1,3,18,0,2,1,0,0.3885611498404941
1900-01-01 00:14:24,1,3,19,0,2,1,0,0.2146247581088501
1900-01-01 00:15:30,1,3,20,0,2,1,1,0.7862213224122876
1900-01-01 00:17:03,1,3,21,0,2,1,1,0.480885440014791
1900-01-01 00:18:02,1,3,22,0,2,1,1,0.1887555111460059
1900-01-01 00:19:49,1,4,23,0,3,0,1,0.1899238076689586
1900-01-01 00:20:15,1,4,24,0,3,0,0,0.0776555294508525
1900-01-01 00:20:38,1,4,25,0,3,0,1,0.3341951228070395
1900-01-01 00:21:15,1,4,26,0,3,0,1,0.4908815852867927
1900-01-01 00:21:55,1,4,27,0,3,0,0,0.1572903607692246
1900-01-01 00:22:36,1,4,28,0,3,0,0,0.0670005931412584
1900-01-01 00:23:16,1,4,29,0,3,0,1,0.5119508206283955
1900-01-01 00:24:11,1,4,30,0,3,0,1,0.1288630105107748
1900-01-01 00:25:06,1,5,31,0,4,1,1,0.1246178126171554
1900-01-01 00:25:28,1,5,32,0,4,1,1,0.318572118161525
1900-01-01 00:25:57,1,5,33,0,4,1,0,0.2494083035537641
1900-01-01 00:26:33,1,5,34,0,4,1,1,0.4446975172028067
1900-01-01 00:27:10,1,5,35,0,4,1,1,0.2753267045781872
1900-01-01 00:28:47,1,6,36,0,5,0,0,0.1452207087583264
1900-01-01 00:29:15,1,6,37,0,5,0,0,0.129373138328074
1900-01-01 00:29:37,1,6,38,0,5,0,1,0.1268256470618708
1900-01-01 00:30:15,1,6,39,0,5,0,1,0.0291598213073816
1900-01-01 00:30:55,1,6,40,0,5,0,0,0.708430216399369
1900-01-01 00:31:36,1,6,41,0,5,0,0,0.2229492684876594
1900-01-01 00:32:28,1,7,42,0,5,1,1,0.4834865275744571
1900-01-01 00:33:11,1,7,43,0,5,1,1,0.2098578317326594
1900-01-01 00:33:55,1,7,44,0,5,1,1,0.1943498738793693
1900-01-01 00:34:19,1,7,45,0,5,1,1,0.3386895977905058
1900-01-01 00:36:28,2,1,46,1,0,0,0,0.2012836192051332
1900-01-01 00:36:58,2,1,47,1,0,0,1,0.5366472264678596
1900-01-01 00:37:34,2,1,48,1,0,0,0,0.2109723028168696
1900-01-01 00:38:07,2,1,49,1,0,0,0,0.0611872016535166
1900-01-01 00:38:34,2,1,50,1,0,0,0,0.1000636532312632
1900-01-01 00:39:35,2,2,51,1,0,1,0,0.0854674119372308
1900-01-01 00:40:32,2,2,52,1,0,1,0,0.2093440283088306
1900-01-01 00:41:29,2,2,53,1,0,1,1,0.2762372198853779
1900-01-01 00:42:10,2,2,54,1,0,1,1,0.3699346155892682
1900-01-01 00:43:16,2,2,55,1,0,1,1,0.0278158366324494
1900-01-01 00:44:16,2,2,56,1,0,1,0,0.3299246858900908
1900-01-01 00:45:23,2,2,57,1,0,1,0,0.1946892659966687
1900-01-01 00:46:38,2,2,58,1,0,1,1,0.2025952187145417
1900-01-01 00:47:10,2,2,59,1,0,1,0,0.3999054113166104
1900-01-01 00:48:01,2,2,60,1,0,1,0,0.2506140468472061
1900-01-01 00:48:48,2,3,61,1,0,0,1,0.0649933446151104
1900-01-01 00:49:32,2,3,62,1,0,0,0,0.2774663713732972
1900-01-01 00:50:22,2,3,63,1,0,0,0,0.7911613502046113
1900-01-01 00:51:25,2,3,64,1,0,0,1,0.2429058864186671
1900-01-01 00:52:06,2,3,65,1,0,0,0,0.1109086495856064
1900-01-01 00:52:49,2,3,66,1,0,0,1,0.4458949337428505
1900-01-01 00:53:31,2,3,67,1,0,0,1,0.374775614215996
1900-01-01 00:54:08,2,3,68,1,0,0,1,0.6272581460004396
1900-01-01 00:56:40,2,4,69,1,1,1,0,0.2316463898082781
1900-01-01 00:57:17,2,4,70,1,1,1,0,0.3272835226816156
1900-01-01 00:58:25,2,4,71,1,1,1,1,0.1186728374938113
1900-01-01 00:59:14,2,4,72,1,1,1,1,0.1977767576730011
1900-01-01 01:00:04,2,4,73,1,1,1,0,0.0869614046264295
1900-01-01 01:01:00,2,4,74,1,1,1,1,1.0
1900-01-01 01:02:27,2,4,75,1,1,1,1,0.3541608494559606
1900-01-01 01:03:10,2,4,76,1,1,1,1,0.2163160572097213
1900-01-01 01:03:48,2,5,77,1,2,0,1,0.4743280554978962
1900-01-01 01:04:49,2,5,78,1,2,0,0,0.0465324591051112
1900-01-01 01:05:15,2,5,79,1,2,0,0,0.2233509350193017
1900-01-01 01:05:42,2,5,80,1,2,0,0,0.295784799558804
1900-01-01 01:06:16,2,5,81,1,2,0,1,0.0942784862857611
1900-01-01 01:06:42,2,5,82,1,2,0,1,0.590287966011732
1900-01-01 01:07:32,2,5,83,1,2,0,0,0.520036441346031
1900-01-01 01:08:08,2,5,84,1,2,0,1,0.1772516660647644
1900-01-01 01:08:35,2,5,85,1,2,0,0,0.0329609990208321
1900-01-01 01:09:18,2,5,86,1,2,0,0,0.1589382293995664
1900-01-01 01:11:20,2,6,87,1,2,1,0,0.8928154777102068
1900-01-01 01:12:26,2,6,88,1,2,1,0,0.299112393366059
